Designator,Comment,Footprint,Center-X(mm),Center-Y(mm),Description
R7,4.7k,3-0603,45.593,-38.227,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R8,4.7k,3-0603,45.593,-40.767,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R9,10k,2-0402,83.693,-33.02,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0402 Size, 0.063 W"
U1,SAM-M8Q,GPS_SAM-MQ8,124.206,-123.948,
U2,ADP1712,MF05A_N,67.056,-95.504,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U3,ESP32-S3-WROOM-1-N16R8,XCVR_ESP32-S3-WROOM-1-N16R2,63.5,-29.855,"Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount"
U4,ADP1712,MF05A_N,46.101,-89.281,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U5,ADP1712,MF05A_N,78.486,-98.171,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U6,ADP1712,MF05A_N,11.811,-19.939,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U7,3.3V LDO,AP7361C-33Y5-13,44.322,-19.328,
U8,PCM1822-Q1,PCM1822-Q1,64.389,-110.7373,"TI PCM1822-Q1 Stereo Channel, 32-Bit, 192-kHz, Burr-Brown Audio ADC"
U9,ADP1712,MF05A_N,108.077,-120.777,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
