filename, ID, gain (dB), Voltage, Version
20201031T103430.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T103600.wav,04233229012120210,6.56,3.76,2019-04-12
20201031T103730.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T103900.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T104030.wav,04233229012120210,6.56,3.82,2019-04-12
20201031T104200.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T104330.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T104500.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T104630.wav,04233229012120210,6.56,3.83,2019-04-12
20201031T104800.wav,04233229012120210,6.56,3.82,2019-04-12
20201031T104930.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T105100.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T105230.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T105400.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T105530.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T105700.wav,04233229012120210,6.56,3.83,2019-04-12
20201031T105830.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T110000.wav,04233229012120210,6.56,3.85,2019-04-12
20201031T110130.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T110300.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T110430.wav,04233229012120210,6.56,3.83,2019-04-12
20201031T110600.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T110730.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T110900.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T111030.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T111200.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T111330.wav,04233229012120210,6.56,3.76,2019-04-12
20201031T111500.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T111630.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T111800.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T111930.wav,04233229012120210,6.56,3.82,2019-04-12
20201031T112100.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T112230.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T112400.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T112530.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T112700.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T112830.wav,04233229012120210,6.56,3.83,2019-04-12
20201031T113000.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T113130.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T113300.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T113430.wav,04233229012120210,6.56,3.76,2019-04-12
20201031T113600.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T113730.wav,04233229012120210,6.56,3.83,2019-04-12
20201031T113900.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T114030.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T114200.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T114330.wav,04233229012120210,6.56,3.83,2019-04-12
20201031T114500.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T114630.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T114800.wav,04233229012120210,6.56,3.76,2019-04-12
20201031T114930.wav,04233229012120210,6.56,3.76,2019-04-12
